column_a,account_id,district_id,frequency
132,1134,6,MONTHLY ISSUANCE
133,1601,10,MONTHLY ISSUANCE
134,2861,38,MONTHLY ISSUANCE
135,813,16,MONTHLY ISSUANCE
136,2585,75,MONTHLY ISSUANCE
137,2220,16,MONTHLY ISSUANCE
138,2763,64,MONTHLY ISSUANCE
139,2342,51,MONTHLY ISSUANCE
140,1944,72,MONTHLY ISSUANCE
141,1966,27,MONTHLY ISSUANCE
142,1801,46,MONTHLY ISSUANCE
143,2543,68,MONTHLY ISSUANCE
144,2293,31,MONTHLY ISSUANCE
145,11013,1,WEEKLY ISSUANCE
146,2423,30,MONTHLY ISSUANCE
147,142,51,MONTHLY ISSUANCE
148,3424,74,MONTHLY ISSUANCE
149,539,13,ISSUANCE AFTER TRANSACTION
150,979,21,MONTHLY ISSUANCE
151,3554,66,MONTHLY ISSUANCE
152,3545,51,MONTHLY ISSUANCE
153,3047,16,MONTHLY ISSUANCE
154,3374,21,MONTHLY ISSUANCE
155,96,68,MONTHLY ISSUANCE
156,461,30,MONTHLY ISSUANCE
157,3593,1,MONTHLY ISSUANCE
158,3026,24,MONTHLY ISSUANCE
159,1054,10,MONTHLY ISSUANCE
160,2433,71,MONTHLY ISSUANCE
161,3691,50,MONTHLY ISSUANCE
162,3787,70,MONTHLY ISSUANCE
163,128,2,MONTHLY ISSUANCE
164,3168,39,MONTHLY ISSUANCE
165,4937,12,MONTHLY ISSUANCE
166,2124,69,MONTHLY ISSUANCE
167,322,1,MONTHLY ISSUANCE
168,4355,31,MONTHLY ISSUANCE
169,1678,1,MONTHLY ISSUANCE
170,2396,2,MONTHLY ISSUANCE
171,1005,54,WEEKLY ISSUANCE
172,697,28,MONTHLY ISSUANCE
173,925,59,MONTHLY ISSUANCE
174,2110,64,MONTHLY ISSUANCE
175,1366,60,MONTHLY ISSUANCE
176,1050,57,ISSUANCE AFTER TRANSACTION
177,3117,33,MONTHLY ISSUANCE
178,562,50,MONTHLY ISSUANCE
179,5369,54,MONTHLY ISSUANCE
180,2242,7,WEEKLY ISSUANCE
181,197,1,MONTHLY ISSUANCE
182,496,69,MONTHLY ISSUANCE
183,2,1,MONTHLY ISSUANCE
184,7401,1,MONTHLY ISSUANCE
185,2486,1,MONTHLY ISSUANCE
186,428,1,MONTHLY ISSUANCE
187,3651,23,MONTHLY ISSUANCE
188,1775,17,MONTHLY ISSUANCE
189,1688,70,MONTHLY ISSUANCE
190,361,51,MONTHLY ISSUANCE
191,1829,43,MONTHLY ISSUANCE
192,1575,1,MONTHLY ISSUANCE
193,9203,70,MONTHLY ISSUANCE
194,3008,72,MONTHLY ISSUANCE
195,239,69,WEEKLY ISSUANCE
196,3302,21,MONTHLY ISSUANCE
197,415,25,MONTHLY ISSUANCE
198,3513,20,MONTHLY ISSUANCE
199,4134,7,MONTHLY ISSUANCE
200,1077,14,MONTHLY ISSUANCE
201,1713,43,MONTHLY ISSUANCE
202,1378,59,MONTHLY ISSUANCE
203,2503,1,MONTHLY ISSUANCE
204,559,46,MONTHLY ISSUANCE
205,6555,38,WEEKLY ISSUANCE
206,744,42,MONTHLY ISSUANCE
207,882,9,MONTHLY ISSUANCE
208,86,54,MONTHLY ISSUANCE
209,1126,56,MONTHLY ISSUANCE
210,2666,49,MONTHLY ISSUANCE
211,944,70,MONTHLY ISSUANCE
212,1545,1,MONTHLY ISSUANCE
213,2453,1,MONTHLY ISSUANCE
214,3734,43,MONTHLY ISSUANCE
215,3935,23,MONTHLY ISSUANCE
216,396,21,MONTHLY ISSUANCE
217,2694,7,MONTHLY ISSUANCE
218,4596,74,MONTHLY ISSUANCE
219,2489,72,MONTHLY ISSUANCE
220,2895,19,MONTHLY ISSUANCE
221,317,76,MONTHLY ISSUANCE
222,2555,53,MONTHLY ISSUANCE
223,494,60,MONTHLY ISSUANCE
224,2219,60,MONTHLY ISSUANCE
225,2581,72,MONTHLY ISSUANCE
226,112,6,MONTHLY ISSUANCE
227,3674,38,MONTHLY ISSUANCE
228,2039,44,MONTHLY ISSUANCE
229,2712,9,MONTHLY ISSUANCE
230,395,1,MONTHLY ISSUANCE
231,2974,9,MONTHLY ISSUANCE
232,123,21,MONTHLY ISSUANCE
233,9640,1,MONTHLY ISSUANCE
234,3108,53,MONTHLY ISSUANCE
235,2508,34,MONTHLY ISSUANCE
236,2458,40,WEEKLY ISSUANCE
237,588,66,MONTHLY ISSUANCE
238,7231,10,MONTHLY ISSUANCE
239,6701,49,WEEKLY ISSUANCE
240,3883,72,MONTHLY ISSUANCE
241,222,37,MONTHLY ISSUANCE
242,2497,65,MONTHLY ISSUANCE
243,1372,1,MONTHLY ISSUANCE
244,3835,50,MONTHLY ISSUANCE
245,7445,64,MONTHLY ISSUANCE
246,2527,38,MONTHLY ISSUANCE
247,425,9,MONTHLY ISSUANCE
248,860,1,MONTHLY ISSUANCE
249,6034,6,WEEKLY ISSUANCE
250,11065,11,MONTHLY ISSUANCE
251,9883,1,MONTHLY ISSUANCE
252,115,68,MONTHLY ISSUANCE
253,1189,59,MONTHLY ISSUANCE
254,3675,64,MONTHLY ISSUANCE
255,3069,66,MONTHLY ISSUANCE
256,2762,19,MONTHLY ISSUANCE
257,892,70,MONTHLY ISSUANCE
258,1535,46,MONTHLY ISSUANCE
259,2618,60,MONTHLY ISSUANCE
260,2651,2,MONTHLY ISSUANCE
261,5442,34,MONTHLY ISSUANCE
262,1787,30,WEEKLY ISSUANCE
263,1397,17,MONTHLY ISSUANCE
264,3785,10,MONTHLY ISSUANCE
265,623,1,MONTHLY ISSUANCE
266,8260,31,MONTHLY ISSUANCE
267,3678,1,MONTHLY ISSUANCE
268,3001,1,MONTHLY ISSUANCE
269,655,53,MONTHLY ISSUANCE
270,4093,1,MONTHLY ISSUANCE
271,3260,68,MONTHLY ISSUANCE
272,2528,65,MONTHLY ISSUANCE
273,2011,75,MONTHLY ISSUANCE
274,1721,68,MONTHLY ISSUANCE
275,1332,59,MONTHLY ISSUANCE
276,1402,74,MONTHLY ISSUANCE
277,3283,68,MONTHLY ISSUANCE
278,3781,31,MONTHLY ISSUANCE
279,7203,71,MONTHLY ISSUANCE
280,1065,72,MONTHLY ISSUANCE
281,3076,54,MONTHLY ISSUANCE
282,4347,1,MONTHLY ISSUANCE
283,1157,7,MONTHLY ISSUANCE
284,9403,1,WEEKLY ISSUANCE
285,1874,9,MONTHLY ISSUANCE
286,1115,34,MONTHLY ISSUANCE
287,3586,59,MONTHLY ISSUANCE
288,62,47,MONTHLY ISSUANCE
289,1771,69,MONTHLY ISSUANCE
290,5483,13,MONTHLY ISSUANCE
291,8330,48,MONTHLY ISSUANCE
292,187,5,MONTHLY ISSUANCE
293,423,12,MONTHLY ISSUANCE
294,6425,31,MONTHLY ISSUANCE
295,2493,62,MONTHLY ISSUANCE
296,2896,29,MONTHLY ISSUANCE
297,2245,29,MONTHLY ISSUANCE
298,3923,52,MONTHLY ISSUANCE
299,1898,70,MONTHLY ISSUANCE
300,3367,1,MONTHLY ISSUANCE
301,3391,74,MONTHLY ISSUANCE
302,8519,23,MONTHLY ISSUANCE
303,1780,1,MONTHLY ISSUANCE
304,3915,65,MONTHLY ISSUANCE
305,3980,75,MONTHLY ISSUANCE
306,4350,63,MONTHLY ISSUANCE
307,686,41,MONTHLY ISSUANCE
308,362,15,MONTHLY ISSUANCE
309,299,77,MONTHLY ISSUANCE
310,2488,5,MONTHLY ISSUANCE
311,2985,71,MONTHLY ISSUANCE
312,385,5,MONTHLY ISSUANCE
313,2817,56,MONTHLY ISSUANCE
314,2056,58,MONTHLY ISSUANCE
315,2002,1,MONTHLY ISSUANCE
316,748,10,MONTHLY ISSUANCE
317,220,72,MONTHLY ISSUANCE
318,1422,68,MONTHLY ISSUANCE
319,1147,44,MONTHLY ISSUANCE
320,3788,70,MONTHLY ISSUANCE
321,1891,32,MONTHLY ISSUANCE
322,1239,1,MONTHLY ISSUANCE
323,8321,77,MONTHLY ISSUANCE
324,3213,51,MONTHLY ISSUANCE
325,2838,3,WEEKLY ISSUANCE
326,3644,38,MONTHLY ISSUANCE
327,4318,33,WEEKLY ISSUANCE
328,2648,51,MONTHLY ISSUANCE
329,2313,26,WEEKLY ISSUANCE
330,5428,24,MONTHLY ISSUANCE
331,7123,64,ISSUANCE AFTER TRANSACTION
332,279,39,MONTHLY ISSUANCE
333,104,37,MONTHLY ISSUANCE
334,497,55,MONTHLY ISSUANCE
335,1152,45,MONTHLY ISSUANCE
336,83,26,MONTHLY ISSUANCE
337,2008,52,MONTHLY ISSUANCE
338,3327,45,MONTHLY ISSUANCE
339,5740,43,MONTHLY ISSUANCE
340,8132,5,WEEKLY ISSUANCE
341,10738,45,WEEKLY ISSUANCE
342,2216,74,MONTHLY ISSUANCE
343,1815,66,MONTHLY ISSUANCE
344,2823,57,MONTHLY ISSUANCE
345,4321,47,MONTHLY ISSUANCE
346,1773,33,MONTHLY ISSUANCE
347,7454,4,MONTHLY ISSUANCE
348,188,54,MONTHLY ISSUANCE
349,10973,18,WEEKLY ISSUANCE
350,2599,48,MONTHLY ISSUANCE
351,1166,11,MONTHLY ISSUANCE
352,504,73,MONTHLY ISSUANCE
353,1518,67,MONTHLY ISSUANCE
354,2189,75,MONTHLY ISSUANCE
355,6040,1,MONTHLY ISSUANCE
356,2876,52,MONTHLY ISSUANCE
357,1505,69,MONTHLY ISSUANCE
358,6897,48,MONTHLY ISSUANCE
359,4377,28,MONTHLY ISSUANCE
360,717,75,MONTHLY ISSUANCE
361,9707,70,MONTHLY ISSUANCE
362,2814,72,MONTHLY ISSUANCE
363,3068,59,MONTHLY ISSUANCE
364,1476,61,MONTHLY ISSUANCE
365,897,38,MONTHLY ISSUANCE
366,977,1,MONTHLY ISSUANCE
367,2639,17,MONTHLY ISSUANCE
368,1032,11,MONTHLY ISSUANCE
369,928,20,MONTHLY ISSUANCE
370,168,31,MONTHLY ISSUANCE
371,2175,1,MONTHLY ISSUANCE
372,10105,55,MONTHLY ISSUANCE
373,1392,60,MONTHLY ISSUANCE
374,3697,45,MONTHLY ISSUANCE
375,5313,40,MONTHLY ISSUANCE
376,2222,47,MONTHLY ISSUANCE
377,2641,7,MONTHLY ISSUANCE
378,5423,15,MONTHLY ISSUANCE
379,2609,73,MONTHLY ISSUANCE
380,5472,1,MONTHLY ISSUANCE
381,2932,72,MONTHLY ISSUANCE
382,4254,70,MONTHLY ISSUANCE
383,3965,31,MONTHLY ISSUANCE
384,10656,8,MONTHLY ISSUANCE
385,887,1,MONTHLY ISSUANCE
386,4743,64,MONTHLY ISSUANCE
387,1048,35,MONTHLY ISSUANCE
388,1671,6,MONTHLY ISSUANCE
389,1236,19,MONTHLY ISSUANCE
390,1822,30,MONTHLY ISSUANCE
391,3316,28,MONTHLY ISSUANCE
392,2037,20,MONTHLY ISSUANCE
393,10079,62,MONTHLY ISSUANCE
394,3999,35,MONTHLY ISSUANCE
395,551,77,MONTHLY ISSUANCE
396,1200,33,MONTHLY ISSUANCE
397,1161,66,MONTHLY ISSUANCE
398,5372,48,MONTHLY ISSUANCE
399,3050,60,MONTHLY ISSUANCE
400,1784,59,MONTHLY ISSUANCE
401,1603,1,MONTHLY ISSUANCE
402,1887,68,MONTHLY ISSUANCE
403,1644,1,MONTHLY ISSUANCE
404,1658,73,MONTHLY ISSUANCE
405,44,32,MONTHLY ISSUANCE
406,1039,70,WEEKLY ISSUANCE
407,1071,68,WEEKLY ISSUANCE
408,2410,54,MONTHLY ISSUANCE
409,2523,10,MONTHLY ISSUANCE
410,790,54,MONTHLY ISSUANCE
411,2583,62,MONTHLY ISSUANCE
412,1782,8,MONTHLY ISSUANCE
413,751,3,MONTHLY ISSUANCE
414,2061,24,MONTHLY ISSUANCE
415,8261,13,MONTHLY ISSUANCE
416,2321,35,MONTHLY ISSUANCE
417,1334,74,MONTHLY ISSUANCE
418,3649,54,MONTHLY ISSUANCE
419,555,24,MONTHLY ISSUANCE
420,3173,39,MONTHLY ISSUANCE
421,863,71,MONTHLY ISSUANCE
422,3181,42,MONTHLY ISSUANCE
423,3210,1,MONTHLY ISSUANCE
424,489,16,MONTHLY ISSUANCE
425,947,59,MONTHLY ISSUANCE
426,3284,64,MONTHLY ISSUANCE
427,1610,52,MONTHLY ISSUANCE
428,4225,55,MONTHLY ISSUANCE
429,1412,64,MONTHLY ISSUANCE
430,1937,36,MONTHLY ISSUANCE
431,991,39,MONTHLY ISSUANCE
432,1180,20,MONTHLY ISSUANCE
433,2758,70,MONTHLY ISSUANCE
434,2711,58,MONTHLY ISSUANCE
435,1652,74,MONTHLY ISSUANCE
436,3099,70,MONTHLY ISSUANCE
437,11111,1,MONTHLY ISSUANCE
438,9591,74,MONTHLY ISSUANCE
439,9828,11,MONTHLY ISSUANCE
440,5385,44,WEEKLY ISSUANCE
441,23,30,MONTHLY ISSUANCE
442,2645,54,MONTHLY ISSUANCE
443,2991,19,MONTHLY ISSUANCE
444,3469,76,MONTHLY ISSUANCE
445,1851,55,MONTHLY ISSUANCE
446,3844,67,MONTHLY ISSUANCE
447,1442,23,MONTHLY ISSUANCE
448,3064,40,MONTHLY ISSUANCE
449,3558,4,MONTHLY ISSUANCE
450,1534,1,MONTHLY ISSUANCE
451,334,1,MONTHLY ISSUANCE
452,1786,1,MONTHLY ISSUANCE
453,1272,40,WEEKLY ISSUANCE
454,2436,67,MONTHLY ISSUANCE
455,3796,53,MONTHLY ISSUANCE
456,119,27,MONTHLY ISSUANCE
457,3063,72,MONTHLY ISSUANCE
458,18,43,WEEKLY ISSUANCE
459,11320,44,MONTHLY ISSUANCE
460,3888,39,MONTHLY ISSUANCE
461,1584,30,MONTHLY ISSUANCE
462,5546,43,MONTHLY ISSUANCE
463,2029,55,MONTHLY ISSUANCE
464,10911,1,WEEKLY ISSUANCE
465,2467,33,MONTHLY ISSUANCE
466,2962,1,MONTHLY ISSUANCE
467,165,25,MONTHLY ISSUANCE
468,1617,45,MONTHLY ISSUANCE
469,327,54,MONTHLY ISSUANCE
470,2068,21,MONTHLY ISSUANCE
471,4448,60,MONTHLY ISSUANCE
472,640,32,MONTHLY ISSUANCE
473,510,1,WEEKLY ISSUANCE
474,2534,61,MONTHLY ISSUANCE
475,1018,7,MONTHLY ISSUANCE
476,1285,65,MONTHLY ISSUANCE
477,3670,27,MONTHLY ISSUANCE
478,1743,51,MONTHLY ISSUANCE
479,3072,8,MONTHLY ISSUANCE
480,2146,31,MONTHLY ISSUANCE
481,4576,27,MONTHLY ISSUANCE
482,3258,53,MONTHLY ISSUANCE
483,2176,67,MONTHLY ISSUANCE
484,8934,51,MONTHLY ISSUANCE
485,1999,70,MONTHLY ISSUANCE
486,2741,15,MONTHLY ISSUANCE
487,4427,32,MONTHLY ISSUANCE
488,3682,70,MONTHLY ISSUANCE
489,2862,33,MONTHLY ISSUANCE
490,3032,5,MONTHLY ISSUANCE
491,701,69,MONTHLY ISSUANCE
492,6281,56,MONTHLY ISSUANCE
493,306,16,MONTHLY ISSUANCE
494,1207,67,MONTHLY ISSUANCE
495,1247,25,MONTHLY ISSUANCE
496,5343,64,MONTHLY ISSUANCE
497,5129,68,MONTHLY ISSUANCE
498,3713,14,WEEKLY ISSUANCE
499,2327,19,MONTHLY ISSUANCE
500,774,1,MONTHLY ISSUANCE
501,1990,1,MONTHLY ISSUANCE
502,2388,30,MONTHLY ISSUANCE
503,3566,21,MONTHLY ISSUANCE
504,10266,54,MONTHLY ISSUANCE
505,3771,22,MONTHLY ISSUANCE
506,1978,57,WEEKLY ISSUANCE
507,2022,72,MONTHLY ISSUANCE
508,3542,49,MONTHLY ISSUANCE
509,1515,11,MONTHLY ISSUANCE
510,4171,28,MONTHLY ISSUANCE
511,433,20,MONTHLY ISSUANCE
512,1373,47,MONTHLY ISSUANCE
513,3246,54,MONTHLY ISSUANCE
514,1475,1,WEEKLY ISSUANCE
515,3133,66,MONTHLY ISSUANCE
516,2779,73,MONTHLY ISSUANCE
517,135,75,MONTHLY ISSUANCE
518,446,50,MONTHLY ISSUANCE
519,9093,47,MONTHLY ISSUANCE
520,432,46,MONTHLY ISSUANCE
521,2880,71,MONTHLY ISSUANCE
522,5767,72,MONTHLY ISSUANCE
523,1998,1,MONTHLY ISSUANCE
524,2554,36,MONTHLY ISSUANCE
525,2933,10,MONTHLY ISSUANCE
526,773,15,MONTHLY ISSUANCE
527,4894,14,MONTHLY ISSUANCE
528,3969,39,MONTHLY ISSUANCE
529,1277,31,MONTHLY ISSUANCE
530,5120,1,MONTHLY ISSUANCE
531,738,34,MONTHLY ISSUANCE
532,1299,1,MONTHLY ISSUANCE
533,148,8,MONTHLY ISSUANCE
534,899,72,MONTHLY ISSUANCE
535,3521,75,MONTHLY ISSUANCE
536,3786,21,MONTHLY ISSUANCE
537,886,1,MONTHLY ISSUANCE
538,5228,77,ISSUANCE AFTER TRANSACTION
539,702,12,MONTHLY ISSUANCE
540,300,1,MONTHLY ISSUANCE
541,1451,64,MONTHLY ISSUANCE
542,2940,54,MONTHLY ISSUANCE
543,1837,23,MONTHLY ISSUANCE
544,3954,22,MONTHLY ISSUANCE
545,885,1,MONTHLY ISSUANCE
546,2697,8,MONTHLY ISSUANCE
547,8129,45,MONTHLY ISSUANCE
548,1930,3,MONTHLY ISSUANCE
549,2411,69,MONTHLY ISSUANCE
550,3775,19,MONTHLY ISSUANCE
551,9034,1,MONTHLY ISSUANCE
552,902,74,MONTHLY ISSUANCE
553,630,71,MONTHLY ISSUANCE
554,3096,68,MONTHLY ISSUANCE
555,2552,52,MONTHLY ISSUANCE
556,3435,59,MONTHLY ISSUANCE
557,5215,55,MONTHLY ISSUANCE
558,36,1,MONTHLY ISSUANCE
559,2687,76,MONTHLY ISSUANCE
560,1861,54,MONTHLY ISSUANCE
561,2464,33,ISSUANCE AFTER TRANSACTION
562,2736,72,MONTHLY ISSUANCE
563,1145,31,MONTHLY ISSUANCE
564,2298,31,MONTHLY ISSUANCE
565,929,54,MONTHLY ISSUANCE
566,381,68,MONTHLY ISSUANCE
567,3778,52,MONTHLY ISSUANCE
568,1118,48,MONTHLY ISSUANCE
569,4352,2,MONTHLY ISSUANCE
570,1322,17,MONTHLY ISSUANCE
571,1852,35,MONTHLY ISSUANCE
572,8173,11,MONTHLY ISSUANCE
573,2705,63,ISSUANCE AFTER TRANSACTION
574,9472,1,WEEKLY ISSUANCE
575,368,77,MONTHLY ISSUANCE
576,1425,76,MONTHLY ISSUANCE
577,8027,44,WEEKLY ISSUANCE
578,3261,1,MONTHLY ISSUANCE
579,35,75,MONTHLY ISSUANCE
580,2186,63,MONTHLY ISSUANCE
581,1566,73,MONTHLY ISSUANCE
582,78,74,MONTHLY ISSUANCE
583,3939,70,MONTHLY ISSUANCE
584,2584,50,MONTHLY ISSUANCE
585,2336,39,MONTHLY ISSUANCE
586,2078,62,MONTHLY ISSUANCE
587,3882,10,MONTHLY ISSUANCE
588,4159,74,MONTHLY ISSUANCE
589,907,41,MONTHLY ISSUANCE
590,1411,54,MONTHLY ISSUANCE
591,1684,32,WEEKLY ISSUANCE
592,3748,1,MONTHLY ISSUANCE
593,2213,68,MONTHLY ISSUANCE
594,1062,6,MONTHLY ISSUANCE
595,273,24,ISSUANCE AFTER TRANSACTION
596,10320,68,MONTHLY ISSUANCE
597,1416,66,WEEKLY ISSUANCE
598,3277,36,MONTHLY ISSUANCE
599,1892,28,MONTHLY ISSUANCE
600,3413,70,MONTHLY ISSUANCE
601,3654,47,MONTHLY ISSUANCE
602,3000,28,MONTHLY ISSUANCE
603,3955,64,MONTHLY ISSUANCE
604,1544,69,MONTHLY ISSUANCE
605,9703,68,MONTHLY ISSUANCE
606,234,73,MONTHLY ISSUANCE
607,3241,44,MONTHLY ISSUANCE
608,3465,1,MONTHLY ISSUANCE
609,3152,1,MONTHLY ISSUANCE
610,1497,1,MONTHLY ISSUANCE
611,3078,1,MONTHLY ISSUANCE
612,400,28,MONTHLY ISSUANCE
613,1902,50,WEEKLY ISSUANCE
614,757,50,MONTHLY ISSUANCE
615,1116,1,MONTHLY ISSUANCE
616,5700,42,MONTHLY ISSUANCE
617,3267,64,MONTHLY ISSUANCE
618,3222,4,MONTHLY ISSUANCE
619,408,41,MONTHLY ISSUANCE
620,2818,40,MONTHLY ISSUANCE
621,6273,38,MONTHLY ISSUANCE
622,2513,70,MONTHLY ISSUANCE
623,3493,63,MONTHLY ISSUANCE
624,1201,61,MONTHLY ISSUANCE
625,4478,70,MONTHLY ISSUANCE
626,2915,57,MONTHLY ISSUANCE
627,9833,20,MONTHLY ISSUANCE
628,2253,74,MONTHLY ISSUANCE
629,1069,70,MONTHLY ISSUANCE
630,207,2,MONTHLY ISSUANCE
631,3212,70,MONTHLY ISSUANCE
632,4035,1,MONTHLY ISSUANCE
633,1268,74,MONTHLY ISSUANCE
634,3287,18,MONTHLY ISSUANCE
635,6226,74,WEEKLY ISSUANCE
636,2123,64,MONTHLY ISSUANCE
637,3982,26,MONTHLY ISSUANCE
638,2701,71,MONTHLY ISSUANCE
639,3629,48,MONTHLY ISSUANCE
640,2841,71,MONTHLY ISSUANCE
641,563,53,MONTHLY ISSUANCE
642,2732,5,MONTHLY ISSUANCE
643,1297,70,MONTHLY ISSUANCE
644,7485,39,MONTHLY ISSUANCE
645,2088,4,MONTHLY ISSUANCE
646,225,1,MONTHLY ISSUANCE
647,1630,72,MONTHLY ISSUANCE
648,403,1,MONTHLY ISSUANCE
649,445,63,WEEKLY ISSUANCE
650,186,1,WEEKLY ISSUANCE
651,3720,36,MONTHLY ISSUANCE
652,574,70,MONTHLY ISSUANCE
653,1429,57,MONTHLY ISSUANCE
654,3580,43,MONTHLY ISSUANCE
655,7819,38,MONTHLY ISSUANCE
656,759,23,MONTHLY ISSUANCE
657,6363,74,MONTHLY ISSUANCE
658,3738,51,MONTHLY ISSUANCE
659,4000,7,MONTHLY ISSUANCE
660,9041,1,MONTHLY ISSUANCE
661,2620,22,MONTHLY ISSUANCE
662,3609,28,MONTHLY ISSUANCE
663,1382,48,MONTHLY ISSUANCE
664,930,41,MONTHLY ISSUANCE
665,1925,12,MONTHLY ISSUANCE
666,1834,62,MONTHLY ISSUANCE
667,1507,35,MONTHLY ISSUANCE
668,7857,75,MONTHLY ISSUANCE
669,6636,72,WEEKLY ISSUANCE
